Ngày,Đóng cửa,Cao nhất,Thấp nhất,Mở cửa,Số lượng,Nhãn dán
2015-06-08,44.937782287597656,45.13713031996655,44.911200071420154,45.00866031117787,4314000,NKE
2015-06-09,44.897911071777344,45.15485109174992,44.645401984510876,44.95993061041743,3476800,NKE
2015-06-10,45.779476165771484,46.08514629776373,45.035241722331705,45.11055067723055,6270400,NKE
2015-06-11,46.0186882019043,46.56800883790083,45.8370605537297,46.55471604234694,6178000,NKE
2015-06-12,45.974403381347656,46.116162826566416,45.72189426393262,45.87251557562168,4133000,NKE
2015-06-15,45.783897399902344,46.005396664904104,45.50924047437891,45.67314776740146,4902000,NKE
2015-06-16,46.319950103759766,46.5060121549901,45.8237936466452,45.84151400294392,5034000,NKE
2015-06-17,46.404117584228516,46.590176242146406,46.10730924233872,46.39968665052224,4072400,NKE
2015-06-18,46.957855224609375,47.25466349836492,46.519287523104076,46.537007874049216,5690600,NKE
2015-06-19,47.19264221191406,47.334401634412956,46.93127464973004,46.97114290302134,7285600,NKE
2015-06-22,47.30781936645508,47.60019667547813,47.24579983484986,47.33882913225769,4186600,NKE
2015-06-23,47.48944854736328,47.516030761623234,47.32111029616869,47.48944854736328,5934200,NKE
2015-06-24,47.0553092956543,47.56475833414818,46.975569416761246,47.48944600755242,5056200,NKE
2015-06-25,46.61231994628906,47.3166861994288,46.3686693292719,47.3166861994288,10811400,NKE
2015-06-26,48.60136795043945,48.88045580548134,48.00775154707116,48.00775154707116,20287600,NKE
2015-06-29,47.697662353515625,48.50391973629196,47.69323480061735,48.40645949554789,9005000,NKE
2015-06-30,47.852699279785156,48.233678282437495,47.75524244312966,48.22038886743041,7531200,NKE
2015-07-01,48.47733688354492,48.47733688354492,48.10521630242425,48.26469606864581,5924000,NKE
2015-07-02,48.67226028442383,49.05323937339629,48.32671851689595,48.68998063505177,5900000,NKE
2015-07-06,48.65896987915039,48.955781541998455,48.29128356992826,48.326720893115294,4991400,NKE
2015-07-07,49.301307678222656,49.31902802531224,48.31341945179428,48.76527985305233,7207000,NKE
2015-07-08,48.40644073486328,49.06207994952185,48.286832636549725,48.82729130407705,6733600,NKE
2015-07-09,48.48176193237305,49.137397887442525,48.37101229592651,48.83615874111553,6168400,NKE
2015-07-10,48.960208892822266,49.084251352804735,48.286852437688964,48.96463982563164,5159200,NKE
2015-07-13,49.79747009277344,49.85948962121309,49.08424213590652,49.27915920536939,5047600,NKE
2015-07-14,49.766456604003906,50.08541610794744,49.58039801997378,49.98795588398572,5561400,NKE
2015-07-15,49.57154846191406,49.78861684903529,49.47851915314782,49.61584764992493,5016400,NKE
2015-07-16,49.766456604003906,50.014538095854874,49.54938825596876,49.95251856784483,4334600,NKE
2015-07-17,49.970237731933594,50.04997760603029,49.5715383614501,49.779748220469855,4545400,NKE
2015-07-20,50.11643600463867,50.30249800609815,49.97910750482393,50.178455545188,5978200,NKE
2015-07-21,50.054405212402344,50.3113451825274,49.934797091032806,50.04997766036657,4626400,NKE
2015-07-22,50.54170608520508,50.59929806335968,50.001250659690484,50.001250659690484,5954200,NKE
2015-07-23,50.5018424987793,50.811940179742045,50.41767167974174,50.72334180798447,6714200,NKE
2015-07-24,50.054405212402344,50.58157456838121,49.824047453545525,50.58157456838121,5967200,NKE
2015-07-27,49.49623107910156,50.02339707237645,49.1506893598873,49.79303930604443,6648000,NKE
2015-07-28,50.26704406738281,50.46196450339219,49.54938522737513,49.64684544537982,6948200,NKE
2015-07-29,50.90940475463867,51.095463379070694,50.280347474047645,50.31578817769513,6839800,NKE
2015-07-30,50.949275970458984,51.12204517454936,50.47526754747564,50.92269375303712,5594000,NKE
2015-07-31,51.04230499267578,51.36126456143878,50.8695357895644,51.16634407390329,5078600,NKE
2015-08-03,50.86953353881836,51.38784112521974,50.32021280367082,51.170772742675894,4992000,NKE
2015-08-04,51.285945892333984,51.35682728989346,50.64803021335398,50.922687179369305,5229000,NKE
